@relation indoor_images
@attribute filename string
@attribute class {ELEVATOR,FLORIST,CLOSET}
@data
elevator_google_0001.jpg,ELEVATOR
elevator_google_0002.jpg,ELEVATOR
elevator_google_0003.jpg,ELEVATOR
elevator_google_0004.jpg,ELEVATOR
elevator_google_0005.jpg,ELEVATOR
elevator_google_0006.jpg,ELEVATOR
elevator_google_0007.jpg,ELEVATOR
elevator_google_0008.jpg,ELEVATOR
elevator_google_0009.jpg,ELEVATOR
elevator_google_0010.jpg,ELEVATOR
elevator_google_0011.jpg,ELEVATOR
elevator_google_0012.jpg,ELEVATOR
elevator_google_0013.jpg,ELEVATOR
elevator_google_0014.jpg,ELEVATOR
elevator_google_0015.jpg,ELEVATOR
elevator_google_0016.jpg,ELEVATOR
elevator_google_0017.jpg,ELEVATOR
elevator_google_0018.jpg,ELEVATOR
elevator_google_0019.jpg,ELEVATOR
elevator_google_0020.jpg,ELEVATOR
elevator_google_0021.jpg,ELEVATOR
elevator_google_0022.jpg,ELEVATOR
elevator_google_0023.jpg,ELEVATOR
elevator_google_0024.jpg,ELEVATOR
elevator_google_0025.jpg,ELEVATOR
elevator_google_0026.jpg,ELEVATOR
elevator_google_0027.jpg,ELEVATOR
elevator_google_0028.jpg,ELEVATOR
elevator_google_0029.jpg,ELEVATOR
elevator_google_0030.jpg,ELEVATOR
elevator_google_0031.jpg,ELEVATOR
elevator_google_0032.jpg,ELEVATOR
elevator_google_0033.jpg,ELEVATOR
elevator_google_0034.jpg,ELEVATOR
elevator_google_0035.jpg,ELEVATOR
elevator_google_0036.jpg,ELEVATOR
elevator_google_0037.jpg,ELEVATOR
elevator_google_0038.jpg,ELEVATOR
elevator_google_0039.jpg,ELEVATOR
elevator_google_0040.jpg,ELEVATOR
elevator_google_0041.jpg,ELEVATOR
elevator_google_0042.jpg,ELEVATOR
elevator_google_0043.jpg,ELEVATOR
elevator_google_0044.jpg,ELEVATOR
elevator_google_0045.jpg,ELEVATOR
elevator_google_0047.jpg,ELEVATOR
elevator_google_0048.jpg,ELEVATOR
elevator_google_0049.jpg,ELEVATOR
elevator_google_0050.jpg,ELEVATOR
elevator_google_0051.jpg,ELEVATOR
elevator_google_0052.jpg,ELEVATOR
elevator_google_0053.jpg,ELEVATOR
elevator_google_0054.jpg,ELEVATOR
elevator_google_0055.jpg,ELEVATOR
elevator_google_0056.jpg,ELEVATOR
elevator_google_0057.jpg,ELEVATOR
elevator_google_0058.jpg,ELEVATOR
elevator_google_0059.jpg,ELEVATOR
elevator_google_0060.jpg,ELEVATOR
elevator_google_0061.jpg,ELEVATOR
elevator_google_0062.jpg,ELEVATOR
elevator_google_0063.jpg,ELEVATOR
elevator_google_0064.jpg,ELEVATOR
elevator_google_0065.jpg,ELEVATOR
elevator_google_0066.jpg,ELEVATOR
elevator_google_0067.jpg,ELEVATOR
elevator_google_0068.jpg,ELEVATOR
elevator_google_0069.jpg,ELEVATOR
elevator_google_0070.jpg,ELEVATOR
elevator_google_0071.jpg,ELEVATOR
elevator_google_0072.jpg,ELEVATOR
elevator_google_0073.jpg,ELEVATOR
elevator_google_0074.jpg,ELEVATOR
elevator_google_0075.jpg,ELEVATOR
elevator_google_0076.jpg,ELEVATOR
elevator_google_0077.jpg,ELEVATOR
elevator_google_0078.jpg,ELEVATOR
elevator_google_0079.jpg,ELEVATOR
elevator_google_0080.jpg,ELEVATOR
elevator_google_0081.jpg,ELEVATOR
elevator_google_0082.jpg,ELEVATOR
elevator_google_0083.jpg,ELEVATOR
elevator_google_0084.jpg,ELEVATOR
elevator_google_0085.jpg,ELEVATOR
elevator_google_0086.jpg,ELEVATOR
elevator_google_0087.jpg,ELEVATOR
elevator_google_0088.jpg,ELEVATOR
elevator_google_0089.jpg,ELEVATOR
elevator_google_0090.jpg,ELEVATOR
elevator_google_0091.jpg,ELEVATOR
elevator_google_0092.jpg,ELEVATOR
elevator_google_0093.jpg,ELEVATOR
elevator_google_0094.jpg,ELEVATOR
elevator_google_0095.jpg,ELEVATOR
elevator_google_0096.jpg,ELEVATOR
elevator_google_0097.jpg,ELEVATOR
elevator_google_0098.jpg,ELEVATOR
elevator_google_0099.jpg,ELEVATOR
elevator_google_0100.jpg,ELEVATOR
elevator_google_0101.jpg,ELEVATOR
elevator_google_0102.jpg,ELEVATOR
3_1001.jpg,FLORIST
06_1.jpg,FLORIST
16943_7438_5.jpg,FLORIST
16944_7439_6.jpg,FLORIST
44122_1.jpg,FLORIST
050621_florist2.jpg,FLORIST
11528159612.jpg,FLORIST
1124747997193_600x600.jpg,FLORIST
anais480.jpg,FLORIST
anaisflor480.jpg,FLORIST
c04652600522c7ad139144ca0e2b_1_4.jpg,FLORIST
c04652600522c7ad139144ca0e2b_2_4.jpg,FLORIST
c04652600522c7ad139144ca0e2b_3_4.jpg,FLORIST
callas_floristeria.jpg,FLORIST
cb72f48b619b1ff77bd11478d.jpg,FLORIST
f_floristeria_04g.jpg,FLORIST
fleuriste2.jpg,FLORIST
fleuriste_008.jpg,FLORIST
fleuriste_69.jpg,FLORIST
floreria_02_13_flickr.jpg,FLORIST
floreria_03_18_flickr.jpg,FLORIST
floreria_03_20_flickr.jpg,FLORIST
floreria_04_03_flickr.jpg,FLORIST
floreria_04_22_flickr.jpg,FLORIST
floreria_05_01_flickr.jpg,FLORIST
floreria_05_02_flickr.jpg,FLORIST
floreria_05_07_flickr.jpg,FLORIST
floreria_05_11_flickr.jpg,FLORIST
floreria_05_13_flickr.jpg,FLORIST
floreria_05_17_flickr.jpg,FLORIST
floreria_07_08_flickr.jpg,FLORIST
floreria_08_08_flickr.jpg,FLORIST
floreria_08_16_flickr.jpg,FLORIST
floreria_08_21_flickr.jpg,FLORIST
floreria_09_04_flickr.jpg,FLORIST
floreria_09_24_flickr.jpg,FLORIST
floreria_10_03_flickr.jpg,FLORIST
floreria_12_12_flickr.jpg,FLORIST
florist2.jpg,FLORIST
florist_01_18_altavista.jpg,FLORIST
florist_02_02_altavista.jpg,FLORIST
florist_02_06_altavista.jpg,FLORIST
florist_02_18_flickr.jpg,FLORIST
florist_03_01_flickr.jpg,FLORIST
florist_07_11_altavista.jpg,FLORIST
florist_08_13_altavista.jpg,FLORIST
florist_15_14_altavista.jpg,FLORIST
florist_19_14_altavista.jpg,FLORIST
florist_21_16_flickr.jpg,FLORIST
florist_23_20_flickr.jpg,FLORIST
florist_26_02_flickr.jpg,FLORIST
florist_26_04_flickr.jpg,FLORIST
florist_26_19_altavista.jpg,FLORIST
florist_28_12_flickr.jpg,FLORIST
florist_29_08_flickr.jpg,FLORIST
florist_31_08_flickr.jpg,FLORIST
florist_32_09_flickr.jpg,FLORIST
florist_32_21_flickr.jpg,FLORIST
florist_35_17_altavista.jpg,FLORIST
florist_38_20_altavista.jpg,FLORIST
florist_38_21_flickr.jpg,FLORIST
florist_39_19_altavista.jpg,FLORIST
florist_40_04_altavista.jpg,FLORIST
florist_40_09_altavista.jpg,FLORIST
florist_40_10_altavista.jpg,FLORIST
florist_40_12_altavista.jpg,FLORIST
florist_41_11_flickr.jpg,FLORIST
florist_41_17_altavista.jpg,FLORIST
florist_43_02_altavista.jpg,FLORIST
florist_45_03_flickr.jpg,FLORIST
florist_46_10_flickr.jpg,FLORIST
florist_46_20_altavista.jpg,FLORIST
florist_47_11_flickr.jpg,FLORIST
florist_50_08_flickr.jpg,FLORIST
florist_52_08_flickr.jpg,FLORIST
